threshold,precision,recall,f1,f2,balanced_accuracy,predicted_positive_count,true_positive,false_positive,true_negative,false_negative
0.760000,1.000000,0.071730,0.133858,0.088083,0.535865,17,17,0,6763,220
0.770000,1.000000,0.067511,0.126482,0.082988,0.533755,16,16,0,6763,221
0.780000,1.000000,0.054852,0.104000,0.067638,0.527426,13,13,0,6763,224
0.790000,1.000000,0.050633,0.096386,0.062500,0.525316,12,12,0,6763,225
0.800000,1.000000,0.042194,0.080972,0.052192,0.521097,10,10,0,6763,227
0.810000,1.000000,0.033755,0.065306,0.041841,0.516878,8,8,0,6763,229
0.820000,1.000000,0.033755,0.065306,0.041841,0.516878,8,8,0,6763,229
0.830000,1.000000,0.021097,0.041322,0.026233,0.510549,5,5,0,6763,232
0.840000,1.000000,0.021097,0.041322,0.026233,0.510549,5,5,0,6763,232
0.850000,1.000000,0.021097,0.041322,0.026233,0.510549,5,5,0,6763,232
0.860000,1.000000,0.016878,0.033195,0.021008,0.508439,4,4,0,6763,233
0.870000,1.000000,0.012658,0.025000,0.015773,0.506329,3,3,0,6763,234
0.880000,1.000000,0.008439,0.016736,0.010526,0.504219,2,2,0,6763,235
0.890000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.900000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.910000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.920000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.930000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.940000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.950000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.960000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.970000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.980000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
0.990000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
