feature,mean_absolute_shap,rank
Torque [Nm],0.157084027216,1
Rotational speed [rpm],0.134641969728,2
Tool wear [min],0.096704107072,3
Air temperature [K],0.076265216297,4
Process temperature [K],0.043031471767,5
Type,0.020160195321,6
